iter	Passed	Remaining
1182	61889	42689
1183	61940	42636
1184	61993	42584
1185	62044	42531
1186	62085	42471
1187	62147	42425
1188	62189	42366
1189	62237	42311
1190	62281	42253
1191	62326	42195
1192	62374	42140
1193	62415	42080
1194	62457	42021
1195	62503	41965
1196	62550	41909
1197	62592	41850
1198	62635	41791
1199	62679	41734
1200	62726	41678
1201	62768	41619
1202	62820	41567
1203	62868	41512
1204	62911	41453
1205	62960	41399
1206	63016	41349
1207	63066	41296
1208	63110	41238
1209	63162	41186
1210	63211	41131
1211	63257	41075
1212	63308	41022
1213	63363	40971
1214	63408	40915
1215	63458	40861
1216	63505	40806
1217	63551	40750
1218	63600	40695
1219	63653	40644
1220	63711	40595
1221	63759	40540
1222	63823	40496
1223	63870	40440
1224	63924	40390
1225	63980	40340
1226	64041	40293
1227	64099	40245
1228	64158	40197
1229	64221	40151
1230	64264	40093
1231	64321	40044
1232	64375	39993
1233	64434	39945
1234	64492	39896
1235	64539	39841
1236	64588	39786
1237	64636	39731
1238	64687	39678
1239	64732	39622
1240	64773	39563
1241	64842	39521
1242	64887	39465
1243	64941	39413
1244	64994	39361
1245	65041	39307
1246	65097	39257
1247	65155	39208
1248	65206	39154
1249	65263	39105
1250	65310	39050
1251	65357	38995
1252	65409	38942
1253	65466	38893
1254	65518	38841
1255	65566	38786
1256	65613	38731
1257	65661	38676
1258	65709	38621
1259	65752	38564
1260	65800	38509
1261	65859	38461
1262	65907	38406
1263	65957	38353
1264	66006	38299
1265	66058	38246
1266	66108	38193
1267	66163	38143
1268	66217	38092
1269	66262	38035
1270	66307	37979
1271	66354	37924
1272	66397	37867
1273	66441	37810
1274	66494	37758
1275	66547	37706
1276	66595	37652
1277	66646	37599
1278	66697	37546
1279	66744	37491
1280	66785	37433
1281	66834	37379
1282	66880	37323
1283	66938	37274
1284	66989	37222
1285	67039	37169
1286	67088	37114
1287	67137	37061
1288	67188	37008
1289	67239	36955
1290	67286	36900
1291	67334	36846
1292	67379	36790
1293	67424	36734
1294	67470	36679
1295	67516	36623
1296	67570	36572
1297	67625	36521
1298	67672	36467
1299	67719	36412
1300	67764	36356
1301	67811	36301
1302	67861	36248
1303	67909	36194
1304	67953	36137
1305	67997	36081
1306	68043	36026
1307	68096	35974
1308	68151	35923
1309	68201	35870
1310	68249	35816
1311	68296	35762
1312	68348	35709
1313	68396	35655
1314	68446	35602
1315	68486	35544
1316	68537	35491
1317	68584	35437
1318	68630	35381
1319	68678	35327
1320	68728	35274
1321	68776	35220
1322	68822	35165
1323	68867	35110
1324	68914	35055
1325	68960	35000
1326	69001	34942
1327	69048	34888
1328	69091	34831
1329	69139	34777
1330	69187	34723
1331	69225	34664
1332	69271	34609
1333	69326	34559
1334	69370	34503
1335	69412	34446
1336	69458	34391
1337	69504	34336
1338	69553	34283
1339	69596	34226
1340	69644	34173
1341	69688	34117
1342	69736	34063
1343	69780	34007
1344	69829	33954
1345	69872	33898
1346	69927	33847
1347	69977	33794
1348	70029	33742
1349	70075	33687
1350	70124	33634
1351	70174	33582
1352	70229	33531
1353	70273	33476
1354	70326	33424
1355	70371	33369
1356	70416	33314
1357	70475	33265
1358	70527	33213
1359	70570	33157
1360	70622	33105
1361	70666	33050
1362	70713	32996
1363	70753	32938
1364	70795	32882
1365	70835	32824
1366	70885	32772
1367	70928	32716
1368	70970	32659
1369	71014	32604
1370	71058	32548
1371	71114	32499
1372	71159	32444
1373	71210	32392
1374	71251	32335
1375	71305	32284
1376	71350	32229
1377	71402	32177
1378	71464	32130
1379	71508	32075
1380	71550	32019
1381	71598	31965
1382	71640	31909
1383	71687	31855
1384	71727	31798
1385	71776	31745
1386	71818	31689
1387	71857	31631
1388	71905	31578
1389	71949	31523
1390	71992	31467
1391	72044	31415
1392	72085	31359
1393	72129	31304
1394	72183	31253
1395	72225	31197
1396	72268	31142
1397	72321	31090
1398	72365	31035
1399	72412	30982
1400	72452	30925
1401	72497	30870
1402	72550	30819
1403	72601	30767
1404	72647	30713
1405	72696	30660
1406	72751	30610
1407	72801	30557
1408	72853	30506
1409	72905	30454
1410	72964	30406
1411	73016	30354
1412	73066	30302
1413	73114	30248
1414	73166	30197
1415	73210	30142
1416	73260	30089
1417	73313	30039
1418	73361	29985
1419	73405	29930
1420	73456	29878
1421	73507	29826
1422	73552	29772
1423	73601	29719
1424	73649	29666
1425	73702	29615
1426	73748	29561
1427	73802	29510
1428	73850	29457
1429	73892	29401
1430	73939	29348
1431	73986	29294
1432	74031	29240
1433	74082	29188
1434	74129	29135
1435	74174	29081
1436	74218	29026
1437	74264	28972
1438	74309	28918
1439	74358	28865
1440	74400	28810
1441	74461	28762
1442	74512	28710
1443	74562	28658
1444	74611	28605
1445	74657	28551
1446	74708	28499
1447	74760	28448
1448	74817	28398
1449	74875	28349
1450	74915	28293
1451	74961	28239
1452	75007	28186
1453	75057	28133
1454	75108	28081
1455	75161	28030
1456	75213	27979
1457	75261	27926
1458	75311	27873
1459	75358	27820
1460	75409	27768
1461	75459	27716
1462	75510	27664
1463	75558	27611
1464	75609	27559
1465	75656	27506
1466	75712	27456
1467	75761	27404
1468	75815	27353
1469	75871	27303
1470	75919	27250
1471	75971	27199
1472	76015	27144
1473	76062	27091
1474	76114	27039
1475	76169	26989
1476	76214	26935
1477	76259	26881
1478	76309	26829
1479	76356	26776
1480	76402	26722
1481	76444	26667
1482	76490	26614
1483	76533	26559
1484	76581	26507
1485	76623	26452
1486	76672	26399
1487	76718	26346
1488	76759	26290
1489	76806	26237
1490	76858	26186
1491	76903	26132
1492	76953	26080
1493	76997	26026
1494	77046	25974
1495	77095	25921
1496	77140	25868
1497	77190	25816
1498	77236	25762
1499	77289	25711
1500	77333	25657
1501	77378	25604
1502	77429	25552
1503	77478	25499
1504	77532	25449
1505	77581	25396
1506	77629	25344
1507	77674	25290
1508	77721	25237
1509	77767	25184
1510	77815	25131
1511	77860	25078
1512	77912	25026
1513	77965	24975
1514	78023	24926
1515	78068	24872
1516	78122	24822
1517	78173	24770
1518	78224	24718
1519	78272	24666
1520	78327	24615
1521	78376	24563
1522	78425	24511
1523	78474	24459
1524	78527	24407
1525	78584	24357
1526	78633	24305
1527	78683	24253
1528	78735	24202
1529	78780	24148
1530	78828	24096
1531	78880	24045
1532	78931	23993
1533	78978	23940
1534	79026	23888
1535	79072	23834
1536	79117	23781
1537	79158	23726
1538	79201	23672
1539	79246	23619
1540	79288	23565
1541	79332	23511
1542	79375	23457
1543	79418	23403
1544	79462	23350
1545	79510	23297
1546	79554	23244
1547	79601	23191
1548	79648	23138
1549	79695	23085
1550	79742	23033
1551	79792	22981
1552	79842	22929
1553	79888	22876
1554	79939	22825
1555	79983	22771
1556	80031	22719
1557	80080	22667
1558	80129	22615
1559	80179	22563
1560	80226	22510
1561	80272	22457
1562	80320	22405
1563	80365	22352
1564	80408	22298
1565	80453	22245
1566	80503	22193
1567	80552	22141
1568	80604	22090
1569	80654	22038
1570	80717	21990
1571	80773	21940
1572	80823	21888
1573	80873	21836
1574	80924	21785
1575	80971	21732
1576	81022	21681
1577	81070	21629
1578	81117	21576
1579	81164	21524
1580	81216	21472
1581	81275	21423
1582	81322	21370
1583	81408	21328
1584	81460	21277
1585	81508	21224
1586	81560	21173
1587	81607	21121
1588	81654	21068
1589	81701	21016
1590	81749	20964
1591	81795	20911
1592	81842	20858
1593	81884	20805
1594	81930	20752
1595	81977	20699
1596	82021	20646
1597	82066	20593
1598	82120	20543
1599	82167	20490
1600	82214	20438
1601	82262	20385
1602	82312	20334
1603	82359	20281
1604	82406	20229
1605	82454	20177
1606	82506	20125
1607	82555	20074
1608	82596	20020
1609	82644	19968
1610	82691	19915
1611	82739	19863
1612	82786	19811
1613	82832	19758
1614	82902	19711
1615	82954	19660
1616	83000	19608
1617	83041	19554
1618	83091	19502
1619	83140	19450
1620	83190	19399
1621	83240	19347
1622	83296	19297
1623	83346	19245
1624	83397	19194
1625	83447	19142
1626	83496	19090
1627	83550	19040
1628	83600	18988
1629	83648	18936
1630	83701	18885
1631	83749	18833
1632	83809	18783
1633	83858	18732
1634	83908	18680
1635	83962	18629
1636	84017	18579
1637	84065	18527
1638	84113	18475
1639	84161	18423
1640	84207	18370
1641	84257	18319
1642	84308	18267
1643	84358	18216
1644	84409	18164
1645	84456	18112
1646	84508	18061
1647	84555	18009
1648	84601	17956
1649	84653	17905
1650	84702	17853
1651	84745	17800
1652	84802	17750
1653	84849	17698
1654	84902	17647
1655	84948	17595
1656	84994	17542
1657	85041	17490
1658	85094	17439
1659	85149	17388
1660	85199	17337
